,Model Name,Covariates,Log-Likelihood,AIC,BIC,SSE,PSSE,Critic (Mean),Critic (Median)
1,IFR SB,None,-3649.625278581252,7303.250557162504,7306.118531571475,67368.10108797839,69.00000000000074,0.0,0.0
2,IFR SB,E,-1248.362719528504,2502.725439057008,2507.0274006704635,58099.166599425575,68.99999675952361,0.5360359153815374,0.6684520284491917
3,IFR SB,F,-1210.6341197217528,2427.2682394435055,2431.570201056961,55241.32393499729,68.99999940571354,0.5546054774642076,0.6789569242535388
4,IFR SB,C,-970.3045745112719,1946.6091490225438,1950.9111106359992,50466.22776193945,68.99999918865888,0.622663778656807,0.7458726551333907
5,IFR SB,"E, F",-1062.6862032663926,2133.372406532785,2139.1083553507256,55191.541248861984,68.99986667325538,0.5855046475884267,0.7198773775887695
6,IFR SB,"E, C",-968.244692909663,1944.489385819326,1950.2253346372665,50442.14999547788,68.99999959705204,0.6229948621474509,0.7461856082395766
7,IFR SB,"E, F, C",-899.2816245085966,1808.5632490171931,1815.7331850396188,50646.65119615718,68.99999901485157,0.6364452085995193,0.7650179497834863
8,IFRGSB,None,-74.9808196405942,155.9616392811884,160.26360089464384,917.755915702869,68.99999770444973,0.9949967211808844,0.9951605376481871
9,IFRGSB,E,-72.67289958895324,153.34579917790649,159.08174799584708,1114.2591647925851,105.93660631374708,0.9945545799516333,0.9956618101135484
10,IFRGSB,F,-59.15500268868149,126.31000537736298,132.04595419530358,756.4595442444001,99.51040443512673,0.24816731917930476,0.1977756466005432
11,IFRGSB,"E, F",-59.1474048073201,128.2948096146402,135.46474563706593,740.7913265406494,73.45337140436976,0.07112682807216147,0.0012821025530089134
12,IFRGSB,"E, C",-71.2386465043111,152.4772930086222,159.64722903104794,1598.325069020922,591.1948888219022,0.0,0.0
13,IFRGSB,"F, C",-59.15131738529911,128.30263477059822,135.47257079302395,745.594217868026,80.05789057701853,0.06498072026129784,0.0
14,IFRGSB,"E, F, C",-66.99586554505336,145.99173109010673,154.5956543170176,605.2023383109369,205.34792464868937,0.9972659136843515,0.9969660480580838
15,S,None,-74.93313304148754,155.86626608297507,160.1682276964305,928.4217223603265,147.8091452594528,0.9949667885620023,0.9951738151818736
16,S,E,-72.66713256234479,153.33426512468958,159.07021394263018,1123.851596809773,210.90031248342422,0.9945199062160519,0.9956634166133345
17,S,F,-59.66162478968997,127.32324957937993,133.05919839732053,759.169901317469,92.28238274084536,0.12069656955560644,0.002094238291711186
18,S,C,-71.89850088915088,151.79700177830176,157.53295059624236,1344.7227665966143,98.40826262606333,0.9938543336509298,0.9958775315641386
19,S,"E, F",-59.66087840127901,129.321756802558,136.49169282498374,754.721825654721,81.24104669615909,0.9984279701736354,0.9989080703920894
20,S,"E, C",-71.20403637640274,152.40807275280548,159.5780087752312,1409.7782644520264,563.2312662755066,0.9935668369091863,0.99569253454031
21,S,"F, C",-59.652961846402405,129.3059236928048,136.47585971523054,745.4627723759412,90.39609001955895,0.9984642551006792,0.9989102756782063
22,S,"E, F, C",-59.65290542202476,131.30581084404952,139.90973407096038,744.4948377789962,487.5698948579336,0.9982786614767806,0.9985318398996859
23,DW2,None,-92.57072948299114,189.14145896598228,192.00943337495258,2031.4856191789763,154.80688941565896,0.9873462529244171,0.9904021776596452
24,DW2,E,-91.17481424674114,188.34962849348227,192.6515901069377,2138.682084409431,219.45184052705753,0.9870476509948006,0.9906515914677012
25,DW2,F,-83.55361167355338,173.10722334710675,177.4091849605622,2301.1610312874723,11.610762609284802,0.9880317922535728,0.9927735874957869
26,DW2,C,-89.07438700128327,184.14877400256654,188.45073561602197,2208.983485486448,7.566689453201969,0.9872234253131105,0.9912364202042874
27,DW2,"E, F",-83.55128392149075,175.1025678429815,180.8385166609221,2301.402205818467,4.757958758637862,0.987842150649465,0.9926314578558652
28,DW2,"E, C",-88.9853987902882,185.9707975805764,191.706746398517,2246.4878653154033,32.08230542322866,0.9869125101325509,0.9911176960914535
29,DW2,"F, C",-83.36005709386737,174.72011418773474,180.45606300567533,2286.409806892066,6.315537110394458,0.9879381682551921,0.9926847272229976
30,DW2,"E, F, C",-83.32461941877139,176.64923883754278,183.8191748599685,2279.0955976183386,37.070762347291485,0.9877837015828186,0.9923161474717801
31,DW3,E,-72.08773971923225,152.1754794384645,157.9114282564051,1087.9488826141708,7.716596085966768,0.9947752111512316,0.9958248159863057
32,DW3,F,-57.09962860281749,122.19925720563498,127.93520602357556,528.0457018475142,16.021015041378615,1.0,1.0
33,DW3,C,-71.82344847151953,151.64689694303905,157.38284576097965,1307.6525354369883,71.78282762994999,0.994008662763066,0.9958984386452143
34,DW3,"E, C",-70.97201629952698,151.94403259905397,159.1139686214797,1349.8648377768804,47.32136838221285,0.9938393919580057,0.9957571675356423
35,GM,None,-74.9817147963133,153.9634295926266,156.8314040015969,917.0677319250057,87.74677904996244,0.9951883339506813,0.9952995437832515
36,GM,E,-72.70005321327793,151.40010642655585,155.70206804001128,1114.3283083727154,811.2345708199206,0.9947378754489519,0.9957955788051802
37,GM,F,-59.66172245742845,125.3234449148569,129.62540652831234,759.6549462658442,87.9032532380169,0.3159696527677569,0.0
38,GM,C,-71.94596362226517,149.89192724453034,154.19388885798577,1336.1971831655533,67.84084211148979,0.9940655337600013,0.9960055424036522
39,GM,"E, F",-59.660966746031164,127.32193349206233,133.05788231000292,755.1557556874203,102.77655047388885,0.12519122517891004,0.019425781512837477
40,GM,"E, C",-71.23700012756805,150.4740002551361,156.2099490730767,1402.5759968437535,1320.0086790228986,0.9937761158900027,0.9960618034435872
41,GM,"F, C",-59.653056309922334,127.30611261984467,133.04206143778526,745.9384418344102,110.42226946477413,0.13708509073086506,0.05922261205886639
42,GM,"E, F, C",-59.65299738170992,129.30599476341985,136.47593078584558,744.9429277885567,99.51299090696926,0.9984661920385949,0.9989102657792639
43,NB2,None,-83.71412711055191,171.42825422110383,174.29622863007413,1599.4963565014386,81.07916503092832,0.9908119076683066,0.9928681500407976
44,NB2,E,-82.21237089694878,170.42474179389757,174.726703407353,1794.3658084639947,568.5488492494715,0.9902074921344524,0.9931470334937551
45,NB2,F,-73.31282715242205,152.6256543048441,156.92761591829952,1732.7701550613651,90.26590858712822,0.9922967432195521,0.9956249621797211
46,NB2,C,-80.46046559821022,166.92093119642044,171.22289280987587,1905.0087165906975,490.8730496209035,0.9901595817178935,0.9936348221399438
47,NB2,"E, F",-73.27581008203455,154.5516201640691,160.2875689820097,1705.8393288275447,154.1576158809518,0.9922159779256011,0.9954938595137129
48,NB2,"E, C",-80.34708790607695,168.6941758121539,174.4301246300945,1958.5434060757095,218.7989259311322,0.9897938030986618,0.993524039174244
49,NB2,"F, C",-73.27630187605891,154.55260375211782,160.2885525700584,1750.8577055091373,18.552729210803907,0.9920474942214274,0.9954937225164266
50,NB2,"E, F, C",-73.20436720941038,156.40873441882076,163.5786704412465,1714.7551914891667,13.139880505288533,0.9920083268485754,0.995135309600409
51,TL,None,-74.98171479631347,155.96342959262694,160.26539120608237,917.0677319250764,7.7352255634432545,0.9949991082024532,0.9951602884070914
